id,filename,group,category,index_in_set,image_path,brightness_median,brightness_stdev,saturation_median,saturation_stdev,hue_median,hue_stdev,label,imageID
ai_abstract_00001,ai_abstract_00001.jpg,ai,abstract,1,images/ai_abstract_00001.jpg,119,58.0606,85,55.7788,29,52.8419,AI Abstract 00001,1
ai_abstract_00002,ai_abstract_00002.jpg,ai,abstract,2,images/ai_abstract_00002.jpg,157,58.2919,147,32.4066,187,13.2788,AI Abstract 00002,2
ai_abstract_00003,ai_abstract_00003.jpg,ai,abstract,3,images/ai_abstract_00003.jpg,155,53.9446,53,33.7508,31,8.9825,AI Abstract 00003,3
ai_abstract_00004,ai_abstract_00004.jpg,ai,abstract,4,images/ai_abstract_00004.jpg,62,48.5567,85,49.1618,18,80.8004,AI Abstract 00004,4
ai_abstract_00005,ai_abstract_00005.jpg,ai,abstract,5,images/ai_abstract_00005.jpg,169,60.7674,101,56.258,158,87.5825,AI Abstract 00005,5
ai_abstract_00006,ai_abstract_00006.jpg,ai,abstract,6,images/ai_abstract_00006.jpg,185,34.8449,136,72.8399,24,73.1033,AI Abstract 00006,6
ai_abstract_00007,ai_abstract_00007.jpg,ai,abstract,7,images/ai_abstract_00007.jpg,179,49.24,46,20.8805,26,112.9036,AI Abstract 00007,7
ai_abstract_00008,ai_abstract_00008.jpg,ai,abstract,8,images/ai_abstract_00008.jpg,238,42.2187,7,57.0434,31,78.6375,AI Abstract 00008,8
ai_abstract_00009,ai_abstract_00009.jpg,ai,abstract,9,images/ai_abstract_00009.jpg,112,50.4156,126,45.3144,22,29.9916,AI Abstract 00009,9
ai_abstract_00010,ai_abstract_00010.jpg,ai,abstract,10,images/ai_abstract_00010.jpg,249,34.2456,104,46.8898,27,7.4323,AI Abstract 00010,10
ai_abstract_00011,ai_abstract_00011.jpg,ai,abstract,11,images/ai_abstract_00011.jpg,119,56.0017,135,65.0847,14,94.4587,AI Abstract 00011,11
ai_abstract_00012,ai_abstract_00012.jpg,ai,abstract,12,images/ai_abstract_00012.jpg,105,46.6379,83,59.6309,24,46.7715,AI Abstract 00012,12
ai_abstract_00013,ai_abstract_00013.jpg,ai,abstract,13,images/ai_abstract_00013.jpg,179,23.4704,8,7.3091,145,67.6202,AI Abstract 00013,13
ai_abstract_00014,ai_abstract_00014.jpg,ai,abstract,14,images/ai_abstract_00014.jpg,140,43.2794,49,27.8894,176,43.6795,AI Abstract 00014,14
ai_abstract_00015,ai_abstract_00015.jpg,ai,abstract,15,images/ai_abstract_00015.jpg,242,41.6487,10,18.5967,157,18.4099,AI Abstract 00015,15
