"image_id","brightness_median","brightness_stdev","saturation_median","saturation_stdev","hue_median","hue_stdev","group","category"
1,76,50.26,48,30.55,46,45.26,"AI","Portre"
2,111,44.21,104,30.95,13,52.73,"AI","Portre"
3,211,38.01,58,35.85,14,27.95,"AI","Portre"
4,156,42.57,120,55.31,18,18.68,"AI","Portre"
5,190,51.98,69,39.13,15,20.54,"AI","Portre"
6,217,31.86,68,33.29,13,70.46,"AI","Portre"
7,32,33.9,78,36.34,18,66.04,"AI","Portre"
8,140,59.63,24,15.19,14,58.78,"AI","Portre"
9,144,56.14,35,22.64,21,70.01,"AI","Portre"
10,212,52.34,20,42.95,28,67.89,"AI","Portre"
11,235,52.07,7,41.18,154,72.22,"AI","Portre"
12,26,56.61,85,77.44,11,36.33,"AI","Portre"
13,75,52.52,73,45.33,21,46.5,"AI","Portre"
14,186,66.15,52,35.34,12,57.56,"AI","Portre"
15,164,44.44,97,35.69,207,35.4,"AI","Portre"
16,165,64.3,88,44.17,16,46.75,"AI","Portre"
17,166,54.86,69,36.74,13,68.19,"AI","Portre"
18,103,66.35,145,49.13,16,41.56,"AI","Portre"
19,200,44.71,84,24.29,10,45.53,"AI","Portre"
20,212,26.17,71,36.68,17,13.04,"AI","Portre"
21,207,41.94,10,49.79,23,86.22,"AI","Portre"
22,207,52.62,57,41.97,13,81.28,"AI","Portre"
23,177,55.85,84,34.09,13,78.11,"AI","Portre"
24,209,38.12,19,39.5,18,36.32,"AI","Portre"
25,212,28.46,71,38.99,18,15.47,"AI","Portre"
26,114,86.3,8,29.77,17,57.66,"AI","Portre"
27,103,57.92,35,24.9,15,73.35,"AI","Portre"
28,233,48.26,12,37.37,13,21.79,"AI","Portre"
29,254,83.79,0,42.29,0,52.7,"AI","Portre"
30,178,35.6,9,18.87,106,56.4,"AI","Portre"
31,70,49.08,0,4.72,0,26.4,"AI","Portre"
32,219,35.35,32,26.81,15,37.14,"AI","Portre"
33,191,71.74,90,44.58,19,60.06,"AI","Portre"
