"Kategori","Metrik","Grup","n","Ortalama","SD","Min","Max"
"Portre","Brightness","AI",90,151.57,62.23,26,254
"Portre","Brightness","Human",90,121.26,60.28,1,253
"Portre","Saturation","AI",90,58.87,34.68,0,172
"Portre","Saturation","Human",90,71.63,42.36,0,211
"Portre","Hue","AI",90,29.01,40.92,0,207
"Portre","Hue","Human",90,73.86,58.66,0,252
"Manzara","Brightness","AI",90,135.83,47.4,38,242
"Manzara","Brightness","Human",90,147.94,45.41,56,247
"Manzara","Saturation","AI",90,69.62,36.27,6,161
"Manzara","Saturation","Human",90,84.08,46.69,6,244
"Manzara","Hue","AI",90,81.58,53.5,19,227
"Manzara","Hue","Human",90,99.3,47.51,21,155
"Soyut","Brightness","AI",90,166.2,58.3,22,254
"Soyut","Brightness","Human",90,133.81,76.31,8,255
"Soyut","Saturation","AI",90,74.03,56.55,0,210
"Soyut","Saturation","Human",90,131.06,79.34,2,255
"Soyut","Hue","AI",90,78.27,70.31,0,246
"Soyut","Hue","Human",90,80.5,69.92,0,251
"Kentsel","Brightness","AI",90,126.29,53,25,254
"Kentsel","Brightness","Human",90,152.43,39.07,77,253
"Kentsel","Saturation","AI",90,54.76,35.66,0,155
"Kentsel","Saturation","Human",90,68.73,48.82,3,253
"Kentsel","Hue","AI",90,113.38,53.86,0,205
"Kentsel","Hue","Human",90,114.86,42.14,24,189
