"Kategori","Metrik","AI_Varyans","Human_Varyans","Oran_Human_AI","Levene_F","p_degeri","Anlamlilik"
"Portre","Brightness",3872.5,3633.32,0.94,0.322,0.571,"ns"
"Portre","Saturation",1202.63,1794.17,1.49,2.061,0.1528,"ns"
"Portre","Hue",1674.53,3441.09,2.05,29.773,0,"***"
"Manzara","Brightness",2246.68,2062.08,0.92,0.344,0.5586,"ns"
"Manzara","Saturation",1315.41,2179.89,1.66,4.994,0.0267,"*"
"Manzara","Hue",2862.07,2257.02,0.79,0.11,0.7406,"ns"
"Soyut","Brightness",3398.9,5823.08,1.71,12.013,7e-04,"***"
"Soyut","Saturation",3197.43,6295.49,1.97,18.412,0,"***"
"Soyut","Hue",4943.95,4889.49,0.99,0,0.9824,"ns"
"Kentsel","Brightness",2808.88,1526.77,0.54,8.048,0.0051,"**"
"Kentsel","Saturation",1271.54,2383.01,1.87,1.648,0.2009,"ns"
"Kentsel","Hue",2901.27,1775.72,0.61,1.107,0.2941,"ns"
