Kategori,Metrik,n_AI,n_Human,Mean_AI,SD_AI,Mean_Human,SD_Human,Cohens_d,Power_0_05,Yorum
Portre,Brightness Median,90,90,151.567,62.229,121.256,60.277,0.495,0.91,
Portre,Saturation Median,90,90,58.867,34.679,71.633,42.358,-0.33,0.595,
Portre,Hue Median,90,90,29.011,40.921,73.856,58.661,-0.887,1,
Manzara,Brightness Median,90,90,135.833,47.399,147.944,45.41,-0.261,0.413,
Manzara,Saturation Median,90,90,69.622,36.269,84.078,46.689,-0.346,0.636,
Manzara,Hue Median,90,90,81.578,53.498,99.3,47.508,-0.35,0.647,
Soyut,Brightness Median,90,90,166.2,58.3,133.811,76.309,0.477,0.889,
Soyut,Saturation Median,90,90,74.033,56.546,131.056,79.344,-0.828,1,
Soyut,Hue Median,90,90,78.267,70.313,80.5,69.925,-0.032,0.055,
Kentsel,Brightness Median,90,90,126.289,52.999,152.433,39.074,-0.562,0.963,
Kentsel,Saturation Median,90,90,54.756,35.659,68.733,48.816,-0.327,0.588,
Kentsel,Hue Median,90,90,113.378,53.863,114.856,42.139,-0.031,0.055,
